product_id;sku;model;product_name;price;quantity;status;date_available;date_modified;exported_at
1465746517;SABK4050;SABK4050;"Самогонний апарат з дефлегматором, монолітною бражною колоною 2&quot; — 40 мм, куб 50 л";10870.3800;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746518;SABKKL33;SABKKL33;"Самогонний апарат з дефлегматором, бражною колоною 2&quot;, куб 33 л";13637.2500;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746519;SABKKL40;SABKKL40;"Самогонний апарат з дефлегматором, бражною колоною 2&quot;, куб 40 л";15152.5000;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746520;SABKKL50;SABKKL50;"Самогонний апарат з дефлегматором, бражною колоною 2&quot;, куб 50 л";14967.2500;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746521;SABKKL60;SABKKL60;"Самогонний апарат з дефлегматором, бражною колоною 2&quot;, куб під ТЕН 60 л";17765.0000;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746528;SAKK3R40;SAKK3R40;"Самогонний апарат з тарілчастою ковпачковою колоною 2&quot; 3 рівні, куб 40 л";17085.7500;10;1;2026-06-11;2026-07-01 00:00:08;2026-07-01 10:47:59
1465746529;SAKK3R50;SAKK3R50;"Самогонний апарат з тарілчастою ковпачковою колоною 2&quot; 3 рівні, куб 50 л";16900.5000;10;1;2026-06-11;2026-07-01 00:00:08;2026-07-01 10:47:59
1465746530;SAKK3R60;SAKK3R60;"Самогонний апарат з тарілчастою ковпачковою колоною 2&quot; 3 рівні, куб під ТЕН 60 л";19698.2500;10;1;2026-06-11;2026-07-01 00:00:08;2026-07-01 10:47:59
1465746522;SARKPR40;SARKPR40;"Самогонний апарат з дефлегматором 2&quot;, з вузлом відбору по пару, куб 40 л";20123.3800;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746523;SARKPR50;SARKPR50;"Самогонний апарат з дефлегматором 2&quot;, з вузлом відбору по пару, куб 50 л";19938.1300;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746524;SARKPR60;SARKPR60;"Самогонний апарат з дефлегматором 2&quot;, з вузлом відбору по пару, куб під ТЕН 60 л";22735.8800;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746525;SARKRD40;SARKRD40;"Самогонний апарат з ректифікаційною колоною 2&quot;, відбір по рідині, куб 40 л";16682.0000;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746526;SARKRD50;SARKRD50;"Самогонний апарат з ректифікаційною колоною 2&quot;, відбір по рідині, куб 50 л";16496.7500;10;1;2026-06-11;2026-07-01 00:00:07;2026-07-01 10:47:59
1465746527;SARKRD60;SARKRD60;"Самогонний апарат з ректифікаційною колоною 2&quot;, відбір по рідині, куб під ТЕН 60 л";19294.5000;10;1;2026-06-11;2026-07-01 00:00:08;2026-07-01 10:47:59
1465746452;shtucerDN19;shtucerDN19;Штуцер кламповий DN25 (під затискач 34мм) AISI304;90.0000;0;1;2026-03-17;2026-06-30 23:01:49;2026-07-01 10:47:59
1011;Sim;Sim;Укупорщик ручний Simplex для коркових пробок;225.0000;0;1;0000-00-00;2026-06-30 23:01:23;2026-07-01 10:47:59
1465745985;Sok-1;Sok-1;Екстрактор Сокслета 2 дюйма ;1045.0000;999;1;2025-02-17;2026-06-30 23:05:55;2026-07-01 10:47:59
1465745984;Sok-2;Sok-2;Екстрактор Сокслета 2 дюйма + трійник;1540.0000;999;1;2025-02-17;2026-06-30 23:05:55;2026-07-01 10:47:59
1465745986;sok-3;sok-3;Екстрактор Сокслета 2 дюйма (повний комплект);2805.0000;999;1;2025-02-17;2026-06-30 23:05:56;2026-07-01 10:47:59
1465745983;Sok3-1;Sok3-1;Екстрактор Сокслета 3 дюйма;1375.0000;999;1;2025-02-17;2026-06-30 23:05:54;2026-07-01 10:47:59
1465745981;Sok3-2;Sok3-2;Екстрактор Сокслета 3 дюйма + трійник;2310.0000;999;1;2025-02-17;2026-06-30 23:05:53;2026-07-01 10:47:59
1465745982;Sok3-3;Sok3-3;Екстрактор Сокслета 3 дюйма (повний комплект);4125.0000;999;1;2025-02-17;2026-06-30 23:05:53;2026-07-01 10:47:59
