product_id;sku;model;product_name;price;quantity;status;date_modified;exported_at
1465746475;1465746475;1465746475;"Вузол дистиляції для отримання спирту-сирцю 2&quot; б/в";2780.0000;1;1;2026-06-30 23:01:06;2026-07-01 10:43:46
1465746476;1465746476;1465746476;Папуга металевий для самогону з нержавіючої сталі б/в;670.0000;1;1;2026-06-30 23:01:06;2026-07-01 10:43:46
1465746477;1465746477;1465746477;Б/в ємність ферментаційна SPEIDEL Fermentegg 250 л;27950.0000;2;1;2026-06-30 23:01:05;2026-07-01 10:43:46
1465746478;1465746478;1465746478;Б/в домашня пивоварня SPEIDEL Braumeister 50 L Plus, з Wi-Fi модулем;82000.0000;1;1;2026-06-30 23:01:06;2026-07-01 10:43:46
1465746490;1465746490;1465746490;Хміль Ekuanot® / Екванот, α-13%, 50гр;98.0000;104;1;2026-06-30 23:01:50;2026-07-01 10:43:46
1465746491;1465746491;1465746491;Малий шаровий кран DN8;100.0000;1;1;2026-06-30 23:01:50;2026-07-01 10:43:46
1465746492;1465746492;1465746492;"Додатковий рівень 3&quot; до тарільчастої колони з діоптра";2929.0000;0;1;2026-06-30 23:01:50;2026-07-01 10:43:46
1465746493;1465746493;1465746493;"Додатковий рівень 2&quot; до тарільчастої колони з діоптра";2149.0000;0;1;2026-06-30 23:01:50;2026-07-01 10:43:46
1465746533;1465746533;1465746533;Солод копчений BESTMALZ BEST Smoked Malt;189.0000;999;1;2026-06-30 23:01:06;2026-07-01 10:43:46
1465746534;1465746534;1465746534;Торф’яний солод BESTMALZ BEST Peated;199.0000;999;1;2026-06-30 23:01:06;2026-07-01 10:43:46
1822;14845;14845;Вуличний газовий камін для терас ACTIVA ASANO 12,5 кВт;34950.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745362;1492296141;1492296141;"Металокерамічний дизайн-обігрівач UDEN-700 &quot;Фламінго&quot; універсал";6015.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745375;1492300666;1492300666;"Металокерамічний дизайн-обігрівач UDEN-900 &quot;Майя&quot;";8480.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744741;1495511300;1495511300;"Керамогранітний обігрівач KEN-500D &quot;Гранж жаккард&quot; кварцовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744793;1495512283;1495512283;"Керамогранітний обігрівач KEN-500K &quot;Глянець&quot; аквамариновий";8640.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744498;1495513914;1495513914;"Керамогранітний обігрівач KEN-500 &quot;Глянець&quot; мармуровий";8640.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744501;1495515588;1495515588;"Керамогранітний обігрівач KEN-500 &quot;Глянець&quot; опал";8640.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744903;1495516234;1495516234;"Керамогранітний обігрівач KEN-600 &quot;Глянець&quot; кавовий";9600.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744813;1495536913;1495536913;"Керамогранітний обігрівач KEN-500K &quot;Космос жаккард&quot; аквамариновий";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744684;1495545704;1495545704;"Керамогранітний обігрівач KEN-500 &quot;Полотно жаккард&quot; полуничний";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744624;1495546837;1495546837;"Керамогранітний обігрівач KEN-500 &quot;Космос жаккард&quot; горіховий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744530;1495548236;1495548236;"Керамогранітний обігрівач KEN-500 &quot;Гранж жаккард&quot; меланж";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745053;1495551533;1495551533;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; горіховий";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
309;1500514;1500514;Дріжджі SafSpirit FD-3, 500g;2956.0000;5;1;2026-06-30 23:01:12;2026-07-01 10:43:46
1465744864;1521401543;1521401543;"Керамогранітний обігрівач KEN-500К &quot;Марго&quot; графітовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745058;1521405352;1521405352;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; родоніт";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744643;1521409619;1521409619;"Керамогранітний обігрівач KEN-500 &quot;Римляни&quot; медовий";7514.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744820;1521411857;1521411857;"Керамогранітний обігрівач KEN-500K &quot;Філігрі шовк&quot; кварцовий";5940.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744567;1521415968;1521415968;"Керамогранітний обігрівач KEN-500 &quot;Ізморозь жаккард&quot; кварцовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744858;1521426063;1521426063;"Керамогранітний обігрівач KEN-500К &quot;Ізморозь жаккард&quot; полуничний";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744841;1521428842;1521428842;"Керамогранітний обігрівач KEN-500К &quot;Гранж жаккард&quot; полуничний";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745062;1521453167;1521453167;"Керамогранітний обігрівач KEN-600 &quot;Медуза&quot; графітовий";5800.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744754;1521470894;1521470894;"Керамогранітний обігрівач KEN-500D &quot;Ізморозь жаккард&quot; графітовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744809;1521484202;1521484202;"Керамогранітний обігрівач KEN-500K &quot;Гранж жаккард&quot; аквамариновий";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744986;1521576736;1521576736;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; полуничний";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744896;1521578775;1521578775;"Керамогранітний обігрівач KEN-600 &quot;Глянець&quot; графітовий";9600.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744667;1521581557;1521581557;"Керамогранітний обігрівач KEN-500 &quot;Філігри жаккард&quot; родоніт";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744541;1521595553;1521595553;"Керамогранітний обігрівач KEN-500 &quot;Гранж жаккард&quot; горіховий";4554.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744948;1521604683;1521604683;"Керамогранітний обігрівач KEN-600 &quot;Гранж жаккард&quot; меланж";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745044;1521609144;1521609144;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; м'ятний";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744522;1521617016;1521617016;"Керамогранітний обігрівач KEN-500 &quot;Гранж жаккард&quot; полуничний";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745094;1521676173;1521676173;"Керамогранітний обігрівач KEN-600 &quot;Полотно жаккард&quot; графітовий";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744880;1521689754;1521689754;"Керамогранітний обігрівач KEN-500К &quot;Полотно шовк&quot; бузковий";5940.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744842;1521696474;1521696474;"Керамогранітний обігрівач KEN-500К &quot;Гранж жаккард&quot; блакитний";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744869;1521703152;1521703152;"Керамогранітний обігрівач KEN-500К &quot;Філігри жаккард&quot; блакитний";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744722;1525968982;1525968982;"Керамогранітний обігрівач KEN-500 &quot;Шиповник&quot; кварцовий";4800.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744720;1525973773;1525973773;"Керамогранітний обігрівач KEN-500 &quot;Червоне сяйво&quot;";5600.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745061;1525975213;1525975213;"Керамогранітний обігрівач KEN-600 &quot;Марі&quot; кварцовий";5431.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745560;1537733458;1537733458;"Металокерамічний обігрівач UDEN-700 &quot;універсал&quot; з ДУ";5748.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745574;1539464266;1539464266;Металокерамічний обігрівач UDEN-900;4988.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745575;1539479802;1539479802;"Металокерамічний обігрівач UDEN-900 &quot;універсал&quot;";5138.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745405;1539482899;1539482899;Металокерамічний обігрівач UDEN-1000;5408.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745406;1539489617;1539489617;"Металокерамічний обігрівач UDEN-1000 &quot;універсал&quot;";5558.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745582;1539546663;1539546663;"Металокерамічний обігрівач UDEN-900 &quot;універсал&quot; з ДУ";6538.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745413;1539557281;1539557281;"Металокерамічний обігрівач UDEN-1000 &quot;універсал&quot; з ДУ";6958.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745376;1543872146;1543872146;"Металокерамічний дизайн-обігрівач UDEN-900 &quot;Талісман&quot;";8480.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744990;1546146722;1546146722;"Керамогранітний обігрівач KEN-600 &quot;Ізморозь жаккард&quot; блакитний";6000.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744675;1546160255;1546160255;"Керамогранітний обігрівач KEN-500 &quot;Полотно жаккард&quot; аквамариновий";5400.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744660;1546166224;1546166224;"Керамогранітний обігрівач KEN-500 &quot;Філігри жаккард&quot; меланж";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744845;1546169498;1546169498;"Керамогранітний обігрівач KEN-500К &quot;Гранж жаккард&quot; нефритовий";5400.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744502;1546173956;1546173956;"Керамогранітний обігрівач KEN-500 &quot;Глянець&quot; горіховий";8640.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745059;1546177053;1546177053;"Керамогранітний обігрівач KEN-600 &quot;Космос жаккард&quot; родоніт";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744768;1546177754;1546177754;"Керамогранітний обігрівач KEN-500D &quot;Космос шовк&quot; кавовий";5940.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745128;1546187910;1546187910;"Керамогранітний обігрівач KEN-600 &quot;Полотно шовк&quot; м'ятний";5433.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465744957;1546190893;1546190893;"Керамогранітний обігрівач KEN-600 &quot;Гранж Жаккард&quot; опал";6000.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745217;1553798831;1553798831;"Металокерамічний дизайн-обігрівач UDEN-500D &quot;Аурум&quot; універсал";5638.0000;0;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745370;1554660692;1554660692;Металокерамічний дизайн-обігрівач UDEN-700 C-3018;4480.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
1465745187;1555934513;1555934513;Металокерамічний дизайн-обігрівач UDEN-200 C-6026;3240.0000;999;0;2026-05-05 10:34:03;2026-07-01 10:43:46
