"Внешний ID","категорія","назва укр","назва рос","ціна"
"226","Дистилятори комерційні","Мініспирт-завод 100 л зі спрощеною конструкцією колони «арома»","Мініспирт-завод 100 л зі спрощеною конструкцією колони «арома»","570000.0000"
"227","Дистилятори комерційні","Мініспиртзавод 150 л з трирівневою колоною «арома»","Мініспиртзавод 150 л з трирівневою колоною «арома»","844000.0000"
"228","Дистилятори комерційні","Мініспирт-завод 150 л зі спрощеною конструкцією колони «арома»","Мініспирт-завод 150 л зі спрощеною конструкцією колони «арома»","610500.0000"
"229","Дистилятори комерційні","Мініспирт-завод 250 л","Мініспирт-завод 250 л","1275000.0000"
"78027","Для дезинфекції","Набір для чищення","Набір для чищення","2700.0000"
"41011","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 10 L ECO Комплект","Домашня пивоварня Braumeister 10 L ECO Комплект","70755.0000"
"47071","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 20 L ECO Комплект","Домашня пивоварня Braumeister 20 L ECO Комплект","87665.0000"
"45051","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 50 L ECO Комплект","Домашня пивоварня Braumeister 50 L ECO Комплект","127715.0000"
"РПН-С","Аксесуари для самогоноваріння","Сітка Панченкова нержавіюча РПН-С 1м","Сітка Панченкова нержавіюча РПН-С 1м","160.0000"
"77445","Аксесуари для пивоварні","Нержавіючий охолоджувач сусла для Braumeister 10 L","Нержавіючий охолоджувач сусла для Braumeister 10 L","3825.0000"
"72899","Аксесуари для пивоварні","Нержавіючий охолоджувач сусла для Braumeister 20 L","Нержавіючий охолоджувач сусла для Braumeister 20 L","4500.0000"
"72900","Аксесуари для пивоварні","Нержавіючий охолоджувач сусла для Braumeister 50 л","Нержавіючий охолоджувач сусла для Braumeister 50 л","9450.0000"
"7-038","Аксесуари для пивоварні","Ніпель для термометра з різьбленням","Ніпель для термометра з різьбленням","460.0000"
"7-063","Аксесуари для самогоноваріння","Заснування колони АРОМА під КЛАМП","Заснування колони АРОМА під КЛАМП","650.0000"
"7-025","Перегінний куб","","Пароводяной испарительный куб 38 литров","28400.0000"
"7-066","Аксесуари для самогоноваріння","Перехідник 135 градусів","Перехідник 135 градусів","860.0000"
"9729","Пивні дріжжі","Пивні дріжджі Данстар Віндзор (Danstar Windsor), 11 гр","Пивні дріжджі Данстар Віндзор (Danstar Windsor), 11 гр","1.0000"
"21047","Ємність для бродіння","Пластикова ємність для бродіння Speidel 12л","Пластикова ємність для бродіння Speidel 12л","1870.0000"
"21008","Ємність для бродіння","Пластикова ємність для бродіння Speidel 120 л","Пластикова ємність для бродіння Speidel 120 л","5985.0000"
"21052","Ємність для бродіння","Пластикова ємність для бродіння Speidel 20 л","Пластикова ємність для бродіння Speidel 20 л","2310.0000"
"21006","Ємність для бродіння","Пластикова ємність для бродіння Speidel 30 л","Пластикова ємність для бродіння Speidel 30 л","2255.0000"
"21007","Ємність для бродіння","Пластикова ємність для бродіння Speidel 60 л","Пластикова ємність для бродіння 60 л Speidel","5815.0000"
"7-036","Аксесуари для самогоноваріння","Прокладка кришки випарного куба","Прокладка кришки випарного куба","490.0000"
"7-054","Аксесуари для самогоноваріння","Простий джин-кошик 2 рівня","Простий джин-кошик 2 рівня","5245.0000"
"2516","Солод для пива","Солод пшеничний BEST Wheat Malt","Солод пшеничний BEST Wheat Malt","76.8000"
"7-044","Самогонний апарат","Самогонний апарат ""Міджет"" модель 2016 року","Самогонный аппарат ""Миджет"" модель 2016 года","17400.0000"
"200915","Солод для пива","Солод карамельний BEST Caramel Munich II, 0.5 кг","Солод карамельний BEST Caramel Munich II, 0.5 кг","48.8000"
"200916","Солод для пива","Солод BEST Chocolate 0.25 кг","Солод BEST Chocolate 0.25 кг","32.7000"
"200957","Солод для пива","Солод BEST Pale Ale","Солод BEST Pale Ale","79.5000"
"200560","Солод для пива","Солод BEST Red X ®","Солод BEST Red X ®","93.0000"
"200516","Солод для пива","Солод Pilsen (Україна)","Солод Pilsen (Україна)","51.8000"
"200517","Солод для пива","Солод Шато Віденський (Chateau Vienna)","Солод Шато Віденський (Chateau Vienna)","96.0000"
"200921","Солод для віскі","Солод Шато Віскі (CHÂTEAU WHISKY)","Солод Шато Віскі (CHATEAU WHISKY) 1кг","199.0000"
"200566","Солод для пива","Солод Шато Мюнік 25 EBC","Солод Шато Мюнік 25 EBC","47.0000"
"200565","Солод для пива","Солод Шато Пільсен (Chateau Pilsen)","Солод Шато Пільсен (Chateau Pilsen)","51.0000"
"72903","Подрібнювачі солоду","Солодоподрібнювач ручний","Солодоподрібнювач ручний","4912.0000"
"200530","Дріжджі спиртові","","Спиртовые дрожжи DistilaMax&#174 SR, 20 g","40.0000"
"7-010","Аксесуари для самогоноваріння","Склянка вимірювання спиртуозності","Склянка вимірювання спиртуозності","1130.0000"
"PIWO 1000 Komfort","Бутлі, пляшки","Скляна пляшка з бугельною пробкою 1000 мл","Скляна пляшка з бугельною пробкою 1000 мл","28.0000"
"PIWO 500 Komfort","Бутлі, пляшки","Скляна пляшка з бугельною пробкою 500 мл","Скляна пляшка з бугельною пробкою 500 мл","21.0000"
"267","ДОМАШНЯ ПИВОВАРНЯ","Сусловарковий котел 36 л","Сусловарковий котел 36 л","3181.0000"
"9731","Пивні дріжжі","Пивні дріжджі Danstar Windsor (Данстар Віндзор), 500 гр","Пивні дріжджі Danstar Windsor (Данстар Віндзор), 500 гр","1.0000"
"10812791277711V","Пивні дріжжі","Пивні дріжджі Nottingham Ale (Ноттингем), 11 гр","Пивні дріжджі Nottingham Ale (Ноттингем), 11 гр","220.0000"
"9732","Пивні дріжжі","Пивні дріжджі Nottingham Ale (Ноттингем), 500 гр.","Пивні дріжджі Nottingham Ale (Ноттингем), 500 гр.","3800.0000"
"482-009","Баки-Теплоакумулятори для систем ГВП","","Теплоаккумулятор БВО 1000/80","7700.0000"
"482-006","Баки-Теплоакумулятори для систем ГВП","","Теплоаккумулятор БВО 350/50","3750.0000"
"482-007","Баки-Теплоакумулятори для систем ГВП","","Теплоаккумулятор БВО 500/60","4800.0000"
"482-008","Баки-Теплоакумулятори для систем ГВП","","Теплоаккумулятор БВО 800/60","6800.0000"
"77354","Аксесуари для пивоварні","Термосорочка для Braumeister 20 л","Термосорочка для Braumeister 20 л","3600.0000"
"77355","Аксесуари для пивоварні","Термосорочка для Braumeister 50 л","Термосорочка для Braumeister 50 л","4950.0000"
"79263","Аксесуари для пивоварні","Укорочена солодова труба для Braumeister 50 L","Укорочена солодова труба для Braumeister 50 L","5880.0000"
"","Самогонний апарат","Універсальна система ""Міджет"" 2017","Универсальная система ""Миджет"" 2017","20700.0000"
"7-020","Самогонний апарат","Установка ректифікації","Установка ректификации","7900.0000"
