sku,назва товару укр,назва категорії
4-90-1,Відвід 90 градусів 3 дюйма ,Аксесуари для самогоноваріння
MAG1063-1,"Відвід 90 градусів без ніпеля 1,5 дюйма",Аксесуари для самогоноваріння
MAG1063-2,"Відвід 90 градусів з ніпелем 1,5 дюйма",Аксесуари для самогоноваріння
MAG1064-1-1,Відвід 90 градусов без ніпеля 2 дюйма,Аксесуари для самогоноваріння
3650,Відвід 90 н/ж 52х1.5 1.4301 S-S DIN11852,Аксесуари для самогоноваріння
MAG1064-1-2,Відвід 90°  з ніпелем 2 дюйма,Аксесуари для самогоноваріння
42523044-2,Відвід 90° мідь (з ніпелем) 2 дюйма ,Аксесуари для самогоноваріння
42523044-1,Відвід мідний 90° 2 дюйми,Аксесуари для самогоноваріння
1247,Відвід нержавіючий 90 КЛАМП 3&quot; дюйми DN76 AISI304,Аксесуари для самогоноваріння
21295,"Відвід нж AISI 304 104x2,0",Аксесуари для самогоноваріння
921,Відро 20 л з кришкою,Ємність для бродіння
K01,Ваги електронні для балону HPCR,Все для газу
vak-kr-1,"Вакуумна кришка для настоювання, базовий комплект",Очищення самогону та фільтрація
vak-kr-2,"Вакуумна кришка для настоювання, повний комплект",Очищення самогону та фільтрація
1394,Вакуумний наповнювач для пляшок Enolmatic,Комплектуючі для ємностей
vak-filter,Вакуумний фільтр для настоянок,Очищення самогону та фільтрація
19348072,Вварка в кришку куба 3'' Діоптра з підсвіткою,Аксесуари для самогоноваріння
19348072-1,Вварка в кришку куба 4 дюйма Діоптра з підсвіткою,Аксесуари для самогоноваріння
MAG1187,Вертикальний дефлегматор Дімрота нержа 2 дюйма,Аксесуари для самогоноваріння
3285,Випарний куб 2017 - 25 л,Перегінний куб
ВС-13,"Воронка з нержавіючої сталі, d-13см",Аксесуари для самогоноваріння
ВС-18,"Воронка з нержавіючої сталі, d-18см",Аксесуари для самогоноваріння
ВС-11,"Воронка нержавіюча з фільтром, d-11см",Аксесуари для самогоноваріння
ВК-2,Врізка КЛАМП 2&quot; в куб,Аксесуари для самогоноваріння
ВА,Вугілля активоване кокосове 1кг,Очищення самогону та фільтрація
F0113,"Вугільна колона 335мм, d 40 мм скляна",Аксесуари для самогоноваріння
F0111,"Вугільна колона скляна 500 мм, d 40 мм",Аксесуари для самогоноваріння | Очищення самогону та фільтрація
MAG-3VD,Вузол відбору  по рідині MagPro Visual з доохолоджувачем 3 дюйма ,Аксесуари для самогоноваріння
MAG-3,Вузол відбору MagPro 3 дюйма з муфтою та термометром,Аксесуари для самогоноваріння
MAG-3V,Вузол відбору MagProVisual 3 дюйма,Аксесуари для самогоноваріння
1465746454,Вузол відбору по пару з ніпелем під термометр 2&quot;,Аксесуари для самогоноваріння
1465746408,Вузол відбору по пару кламп 2 дюйми,Аксесуари для самогоноваріння
MAG1102,"Вузол відбору по рідині MagPro 1,5 дюйма",Аксесуари для самогоноваріння
MAG1103,Вузол відбору по рідині MagPro 2 дюйма,Аксесуари для самогоноваріння
MAG1104,"Вузол відбору по рідині MagPro Visual 1,5 дюйма",Аксесуари для самогоноваріння
MAG1105,Вузол відбору по рідині MagPro Visual 2 дюйма,Аксесуари для самогоноваріння
MAG1101,"Вузол відбору по рідині MagPro Visual з доохолоджувачем 1,5 дюйма",Аксесуари для самогоноваріння
MAG1098,Вузол відбору по рідині MagPro Visual з доохолоджувачем 2 дюйма,Аксесуари для самогоноваріння
MAG1097,"Вузол відбору по рідині MagPro з доохолоджувачем 1,5 дюйма",Аксесуари для самогоноваріння
MAG1096,Вузол відбору по рідині MagPro з доохолоджувачем 2 дюйма,Аксесуари для самогоноваріння
